imdbrating,numVotes,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,release_date,duration,genre,nationality,nber_press_vote,nber_user_vote,press_rating,allorating,genre_1,nationality_1,diff,title,year,imdbID
6.8,75381.0,Hitchcock,Hitchcock,2012,98,"Biography,Drama,Romance",2013-02-06,1h 38min,Biopic,américain,33.0,2981.0,2.6,6.8,Biopic,américain,0.0,,,
6.6,30379.0,Paranoid Park,Paranoid Park,2007,85,"Crime,Drama,Mystery",2007-10-24,1h 25min,Drama,"français, américain",20.0,3508.0,4.1,6.6,Drama,français,0.0,,,
8.0,152686.0,JFK,JFK,1991,189,"Drama,History,Thriller",1992-01-29,3h 09min,"Drama, Historique, Thriller","français, américain",5.0,6441.0,3.8,8.0,Drama,français,0.0,,,
7.8,229137.0,Mr. Nobody,Mr. Nobody,2009,141,"Drama,Fantasy,Romance",2010-01-13,2h 21min,"Fantasie movie, Science fiction, Drama","français, britannique, belge, canadien",24.0,6081.0,2.8,7.8,Fantasie movie,français,0.0,,,
6.0,4259.0,Another Happy Day,Another Happy Day,2011,119,"Comedy,Drama",2012-02-01,1h 59min,Comedy,américain,20.0,1008.0,3.0,6.0,Comedy,américain,0.0,,,
7.8,50950.0,"Food, Inc.","Food, Inc.",2008,94,"Documentary,News",2009-12-02,1h 34min,Documentary,américain,17.0,168.0,3.1,7.8,Documentary,américain,0.0,,,
5.2,1031.0,Americano,Americano,2011,105,Drama,2011-11-30,1h 45min,"Drama, Adventure movie",français,23.0,275.0,3.2,5.2,Drama,français,0.0,,,
5.2,1031.0,Americano,Americano,2011,105,Drama,2011-11-30,1h 45min,"Drama, Adventure movie",français,23.0,275.0,3.2,5.2,Drama,français,0.0,,,
5.6,349.0,Bus Palladium,Bus Palladium,2010,100,"Comedy,Drama,Music",2010-03-17,1h 40min,Comedy dramatique,français,20.0,811.0,3.0,5.6,Comedy dramatique,français,0.0,,,
6.6,664.0,Puzzle,Rompecabezas,2010,88,Drama,2010-06-23,1h 28min,Comedy dramatique,"français, argentin",17.0,55.0,3.4,6.6,Comedy dramatique,français,0.0,,,
6.6,30379.0,Paranoid Park,Paranoid Park,2007,85,"Crime,Drama,Mystery",2007-10-24,1h 25min,Drama,"français, américain",20.0,3508.0,4.1,6.6,Drama,français,0.0,,,
5.2,256.0,Paris-Willouby,Paris-Willouby,2015,83,"Comedy,Drama",2016-01-20,1h 23min,Comedy dramatique,français,18.0,427.0,2.3,5.2,Comedy dramatique,français,0.0,,,
8.0,152686.0,JFK,JFK,1991,189,"Drama,History,Thriller",1992-01-29,3h 09min,"Drama, Historique, Thriller","français, américain",5.0,6441.0,3.8,8.0,Drama,français,0.0,,,
7.8,229137.0,Mr. Nobody,Mr. Nobody,2009,141,"Drama,Fantasy,Romance",2010-01-13,2h 21min,"Fantasie movie, Science fiction, Drama","français, britannique, belge, canadien",24.0,6081.0,2.8,7.8,Fantasie movie,français,0.0,,,
7.2,5527.0,The Bubble,Ha-Buah,2006,117,"Comedy,Drama,Romance",2007-07-04,1h 57min,Drama,"français, israélien",20.0,761.0,3.7,7.2,Drama,français,0.0,,,
5.0,3523.0,Camping,Camping,2006,95,Comedy,2006-04-26,1h 35min,Comedy,français,27.0,190387.0,2.3,5.0,Comedy,français,0.0,,,
5.2,1031.0,Americano,Americano,2011,105,Drama,2011-11-30,1h 45min,"Drama, Adventure movie",français,23.0,275.0,3.2,5.2,Drama,français,0.0,,,
5.2,1031.0,Americano,Americano,2011,105,Drama,2011-11-30,1h 45min,"Drama, Adventure movie",français,23.0,275.0,3.2,5.2,Drama,français,0.0,,,
6.2,15.0,Par amour,Par amour,2012,115,Drama,2012-12-26,1h 55min,"Comedy, Romance",français,4.0,24.0,2.0,6.8,Comedy,français,0.5999999999999996,,,
6.2,15.0,Par amour,Par amour,2012,115,Drama,2012-12-26,1h 55min,"Comedy, Romance",français,4.0,24.0,2.0,6.8,Comedy,français,0.5999999999999996,,,
6.2,44668.0,Dark Places,Dark Places,2015,113,"Crime,Drama,Mystery",2015-04-08,1h 53min,"Thriller, Drama","français, américain, britannique",21.0,2455.0,3.0,6.8,Thriller,français,0.5999999999999996,,,
6.8,8061.0,Carancho,Carancho,2010,107,"Crime,Drama,Romance",2011-02-02,1h 47min,Drama,"français, sud-coréen, argentin, chilien",22.0,539.0,3.5,6.2,Drama,français,0.5999999999999996,,,
6.8,8061.0,Carancho,Carancho,2010,107,"Crime,Drama,Romance",2011-02-02,1h 47min,Drama,"français, sud-coréen, argentin, chilien",22.0,539.0,3.5,6.2,Drama,français,0.5999999999999996,,,
7.0,5.0,Resident Forever,Resident Forever,2017,89,"Documentary,History,War",2017-03-22,1h 29min,Documentary,"français, sud-coréen, arménien",5.0,6.0,3.4,6.4,Documentary,français,0.5999999999999996,,,
5.0,485.0,Bowling,Bowling,2012,90,Comedy,2012-07-18,1h 30min,Comedy,français,11.0,1410.0,2.3,5.6,Comedy,français,0.5999999999999996,,,
6.3,71508.0,Ninja Assassin,Ninja Assassin,2009,99,"Action,Thriller",2010-02-10,1h 39min,"Action, Crime movie, Thriller","américain, allemand",4.0,1652.0,2.8,5.6,Action,américain,0.7000000000000002,,,
5.7,17411.0,Smiley Face,Smiley Face,2007,85,Comedy,2008-01-16,1h 25min,Comedy,américain,17.0,1090.0,2.9,5.0,Comedy,américain,0.7000000000000002,,,
6.3,95.0,The Day the Ponies Come Back,The Day the Ponies Come Back,2000,104,Drama,2001-03-21,1h 44min,Comedy dramatique,"français, américain",12.0,14.0,3.1,7.0,Comedy dramatique,français,0.7000000000000002,,,
6.8,2228.0,Jackie,Jackie,2012,100,"Comedy,Drama",2017-02-01,1h 40min,"Biopic, Drama",américain,32.0,2196.0,4.0,6.0,Biopic,américain,0.7999999999999998,,,
6.7,78392.0,Jackie,Jackie,2016,100,"Biography,Drama",2017-02-01,1h 40min,"Biopic, Drama",américain,32.0,2196.0,4.0,6.0,Biopic,américain,0.7000000000000002,,,
5.5,33011.0,Fighting,Fighting,2009,105,"Action,Crime,Drama",2009-06-24,1h 45min,"Action, Drama",américain,8.0,729.0,2.8,4.8,Action,américain,0.7000000000000002,,,
